alert_id,alert_type,latitude,longitude,acq_date,acq_time,satellite,daynight,label,frp,site_normal_frp,frp_vs_normal,prior_active_days,facility_type,facility_name,facility_distance_m,active_days_30d,recurrence_count,first_seen,event_count,dominant_class,maps_link
industrial_anomaly|23.25753|70.26478|2026-09-20|2106|N,industrial_anomaly,23.25753,70.26478,2026-09-20,2106,N,N,industrial,2.31,0.9,2.57,27.0,OSM industrial=yes,,0.0,,2.0,2026-06-30,,,"https://www.google.com/maps?q=23.25753,70.26478&t=k"
industrial_anomaly|23.31525|70.48738|2026-09-20|2106|N,industrial_anomaly,23.31525,70.48738,2026-09-20,2106,N,N,industrial,2.49,1.13,2.2,53.0,OSM industrial=yes,,0.0,,6.0,2026-06-30,,,"https://www.google.com/maps?q=23.31525,70.48738&t=k"
industrial_anomaly|21.10779|72.64835|2026-09-20|2029|N21,industrial_anomaly,21.10779,72.64835,2026-09-20,2029,N21,N,gas flare,24.76,5.2,4.76,262.0,oil_gas_power_plant,,689.0,,42.0,2026-06-22,,,"https://www.google.com/maps?q=21.10779,72.64835&t=k"
new_activity_at_critical_site|8.81362|78.10622|2026-09-20|0835|N,new_activity_at_critical_site,8.81362,78.10622,2026-09-20,0835,N,D,unknown,7.96,,,,power plant (coal) · OSM,unnamed,1001.0,,1.0,2026-09-20,,,"https://www.google.com/maps?q=8.81362,78.10622&t=k"
industrial_anomaly|20.86439|84.98729|2026-09-20|0716|N20,industrial_anomaly,20.86439,84.98729,2026-09-20,0716,N20,D,industrial,4.78,2.34,2.05,8.0,OSM industrial=yes,,0.0,,17.0,2026-06-24,,,"https://www.google.com/maps?q=20.86439,84.98729&t=k"
industrial_anomaly|23.78926|85.55051|2026-09-19|2049|N21,industrial_anomaly,23.78926,85.55051,2026-09-19,2049,N21,N,industrial,4.14,1.4,2.96,144.0,coal mine (osm),,154.0,,12.0,2026-06-27,,,"https://www.google.com/maps?q=23.78926,85.55051&t=k"
industrial_anomaly|23.64999|85.43658|2026-09-19|1908|N21,industrial_anomaly,23.64999,85.43658,2026-09-19,1908,N21,N,industrial,4.24,1.62,2.62,175.0,coal mine (osm),,126.0,,22.0,2026-06-23,,,"https://www.google.com/maps?q=23.64999,85.43658&t=k"
industrial_anomaly|15.17976|76.67740|2026-09-19|0818|N21,industrial_anomaly,15.17976,76.6774,2026-09-19,0818,N21,D,industrial,10.15,4.8,2.11,8.0,OSM industrial=steel_mill,,0.0,,20.0,2026-06-21,,,"https://www.google.com/maps?q=15.17976,76.6774&t=k"
industrial_anomaly|21.10207|72.65056|2026-09-19|0735|N20,industrial_anomaly,21.10207,72.65056,2026-09-19,0735,N20,D,industrial,13.62,4.18,3.26,7.0,oil_gas_power_plant,,990.0,,2.0,2026-09-02,,,"https://www.google.com/maps?q=21.10207,72.65056&t=k"
new_activity_at_critical_site|22.31366|69.71953|2026-09-18|2203|N20,new_activity_at_critical_site,22.31366,69.71953,2026-09-18,2203,N20,N,industrial,0.99,,,,power plant (coal) · OSM,Essar Power,511.0,,1.0,2026-09-18,,,"https://www.google.com/maps?q=22.31366,69.71953&t=k"
new_activity_at_critical_site|22.31089|69.71923|2026-09-18|2144|N,new_activity_at_critical_site,22.31089,69.71923,2026-09-18,2144,N,N,industrial,1.74,,,5.0,power plant (coal) · OSM,Essar Power,318.0,,1.0,2026-09-18,,,"https://www.google.com/maps?q=22.31089,69.71923&t=k"
industrial_anomaly|22.42868|69.83318|2026-09-18|2108|N21,industrial_anomaly,22.42868,69.83318,2026-09-18,2108,N21,N,industrial,2.11,0.87,2.43,89.0,cement_plant,,104.0,,1.0,2026-09-18,,,"https://www.google.com/maps?q=22.42868,69.83318&t=k"
new_activity_at_critical_site|22.42868|69.83318|2026-09-18|2108|N21,new_activity_at_critical_site,22.42868,69.83318,2026-09-18,2108,N21,N,industrial,2.11,,,89.0,cement plant · GEM,Shree Digvijay Cement Company Sikka Cement Plant,104.0,,1.0,2026-09-18,,,"https://www.google.com/maps?q=22.42868,69.83318&t=k"
industrial_anomaly|21.93172|85.22075|2026-09-18|1925|N21,industrial_anomaly,21.93172,85.22075,2026-09-18,1925,N21,N,industrial,3.05,1.37,2.23,100.0,OSM industrial=yes,,0.0,,4.0,2026-08-08,,,"https://www.google.com/maps?q=21.93172,85.22075&t=k"
new_activity_at_critical_site|8.97558|76.81163|2026-09-18|0835|N21,new_activity_at_critical_site,8.97558,76.81163,2026-09-18,0835,N21,D,unknown,3.86,,,,power plant (gas) · OSM,unnamed,1682.0,,1.0,2026-09-18,,,"https://www.google.com/maps?q=8.97558,76.81163&t=k"
new_unmapped_source|6461|24639,new_unmapped_source,21.96627,83.77216,2026-09-17,2040,N20,N,wildfire,3.0,,,,,,,5.0,6.0,2026-08-09,,,"https://www.google.com/maps?q=21.96627,83.77216&t=k"
industrial_anomaly|13.38076|80.11128|2026-09-17|2023|N,industrial_anomaly,13.38076,80.11128,2026-09-17,2023,N,N,industrial,1.24,0.55,2.25,7.0,OSM industrial=yes,,0.0,,1.0,2026-09-17,,,"https://www.google.com/maps?q=13.38076,80.11128&t=k"
industrial_anomaly|20.53433|85.90583|2026-09-17|2021|N,industrial_anomaly,20.53433,85.90583,2026-09-17,2021,N,N,industrial,2.14,1.06,2.02,6.0,OSM industrial=yes,,0.0,,2.0,2026-06-24,,,"https://www.google.com/maps?q=20.53433,85.90583&t=k"
industrial_anomaly|16.87278|80.02107|2026-09-16|2042|N,industrial_anomaly,16.87278,80.02107,2026-09-16,2042,N,N,industrial,3.75,0.81,4.63,36.0,OSM industrial=yes,,0.0,,3.0,2026-08-21,,,"https://www.google.com/maps?q=16.87278,80.02107&t=k"
industrial_anomaly|21.10314|72.63384|2026-09-16|2042|N,industrial_anomaly,21.10314,72.63384,2026-09-16,2042,N,N,industrial,19.9,5.79,3.44,257.0,OSM industrial=yes,,0.0,,41.0,2026-06-18,,,"https://www.google.com/maps?q=21.10314,72.63384&t=k"
industrial_anomaly|15.02116|78.01511|2026-09-16|2006|N21,industrial_anomaly,15.02116,78.01511,2026-09-16,2006,N21,N,industrial,5.9,1.56,3.78,97.0,OSM industrial=yes,,0.0,,20.0,2026-06-19,,,"https://www.google.com/maps?q=15.02116,78.01511&t=k"
industrial_anomaly|15.17888|77.10246|2026-09-16|2006|N21,industrial_anomaly,15.17888,77.10246,2026-09-16,2006,N21,N,industrial,4.07,1.63,2.5,196.0,OSM industrial=yes,,0.0,,25.0,2026-06-20,,,"https://www.google.com/maps?q=15.17888,77.10246&t=k"
industrial_anomaly|16.86980|80.02036|2026-09-16|2006|N21,industrial_anomaly,16.8698,80.02036,2026-09-16,2006,N21,N,industrial,3.54,1.11,3.19,21.0,OSM industrial=yes,,0.0,,3.0,2026-09-03,,,"https://www.google.com/maps?q=16.8698,80.02036&t=k"
new_activity_at_critical_site|17.15944|77.29334|2026-09-16|2006|N21,new_activity_at_critical_site,17.15944,77.29334,2026-09-16,2006,N21,N,industrial,1.26,,,,power plant (coal) · OSM,unnamed,410.0,,1.0,2026-09-16,,,"https://www.google.com/maps?q=17.15944,77.29334&t=k"
industrial_anomaly|21.71354|84.04081|2026-09-16|2004|N21,industrial_anomaly,21.71354,84.04081,2026-09-16,2004,N21,N,industrial,2.17,0.82,2.65,66.0,OSM industrial=yes,,0.0,,2.0,2026-09-13,,,"https://www.google.com/maps?q=21.71354,84.04081&t=k"
industrial_anomaly|21.85850|83.96804|2026-09-16|2004|N21,industrial_anomaly,21.8585,83.96804,2026-09-16,2004,N21,N,industrial,3.51,1.47,2.39,173.0,OSM industrial=yes,,0.0,,9.0,2026-06-24,,,"https://www.google.com/maps?q=21.8585,83.96804&t=k"
industrial_anomaly|15.17500|76.65633|2026-09-16|0830|N20,industrial_anomaly,15.175,76.65633,2026-09-16,0830,N20,D,industrial,11.3,4.13,2.74,58.0,OSM industrial=steel_mill,,0.0,,41.0,2026-06-19,,,"https://www.google.com/maps?q=15.175,76.65633&t=k"
new_activity_at_critical_site|16.32950|77.34757|2026-09-16|0830|N20,new_activity_at_critical_site,16.3295,77.34757,2026-09-16,0830,N20,D,unknown,9.66,,,,power plant (coal) · OSM,Raichur Thermal Power Station,1897.0,,1.0,2026-09-16,,,"https://www.google.com/maps?q=16.3295,77.34757&t=k"
new_activity_at_critical_site|16.32977|77.35065|2026-09-16|0830|N20,new_activity_at_critical_site,16.32977,77.35065,2026-09-16,0830,N20,D,unknown,7.5,,,,power plant (coal) · OSM,Raichur Thermal Power Station,1947.0,,1.0,2026-09-16,,,"https://www.google.com/maps?q=16.32977,77.35065&t=k"
new_activity_at_critical_site|8.93097|78.16671|2026-09-16|0828|N20,new_activity_at_critical_site,8.93097,78.16671,2026-09-16,0828,N20,D,unknown,7.34,,,,power plant (coal) · OSM,Mutiara Thermal Power Plant,1148.0,,1.0,2026-09-16,,,"https://www.google.com/maps?q=8.93097,78.16671&t=k"
industrial_anomaly|22.78692|86.20747|2026-09-16|0811|N,industrial_anomaly,22.78692,86.20747,2026-09-16,0811,N,D,industrial,11.78,5.32,2.22,48.0,OSM industrial=yes,,0.0,,11.0,2026-06-19,,,"https://www.google.com/maps?q=22.78692,86.20747&t=k"
new_activity_at_critical_site|16.71376|79.56265|2026-09-16|0809|N,new_activity_at_critical_site,16.71376,79.56265,2026-09-16,0809,N,D,industrial,5.28,,,,power plant (coal) · OSM,Yadadri Thermal Power Plant,0.0,,1.0,2026-09-16,,,"https://www.google.com/maps?q=16.71376,79.56265&t=k"
new_activity_at_critical_site|21.82372|73.11503|2026-09-15|2059|N,new_activity_at_critical_site,21.82372,73.11503,2026-09-15,2059,N,N,industrial,1.1,,,,power plant (gas) · OSM,NTPC Jhanor-Gandhar,0.0,,1.0,2026-09-15,,,"https://www.google.com/maps?q=21.82372,73.11503&t=k"
new_activity_at_critical_site|18.88025|72.97102|2026-09-15|2059|N,new_activity_at_critical_site,18.88025,72.97102,2026-09-15,2059,N,N,industrial,0.93,,,,power plant (gas) · OSM,Uran,0.0,,1.0,2026-09-15,,,"https://www.google.com/maps?q=18.88025,72.97102&t=k"
new_activity_at_critical_site|18.88241|72.96909|2026-09-15|2023|N21,new_activity_at_critical_site,18.88241,72.96909,2026-09-15,2023,N21,N,industrial,0.8,,,,power plant (gas) · OSM,Uran,0.0,,1.0,2026-09-15,,,"https://www.google.com/maps?q=18.88241,72.96909&t=k"
industrial_anomaly|24.44825|83.04061|2026-09-15|2021|N21,industrial_anomaly,24.44825,83.04061,2026-09-15,2021,N21,N,industrial,2.58,0.9,2.87,44.0,coal mine (osm),,122663.0,,1.0,2026-09-15,,,"https://www.google.com/maps?q=24.44825,83.04061&t=k"
new_activity_at_critical_site|26.62822|79.52846|2026-09-15|2021|N21,new_activity_at_critical_site,26.62822,79.52846,2026-09-15,2021,N21,N,industrial,1.99,,,,power plant (gas) · OSM,Auraiya Thermal Power Station,0.0,,1.0,2026-09-15,,,"https://www.google.com/maps?q=26.62822,79.52846&t=k"
industrial_anomaly|22.35838|87.28748|2026-09-15|1938|N20,industrial_anomaly,22.35838,87.28748,2026-09-15,1938,N20,N,industrial,4.44,1.29,3.44,159.0,OSM industrial=yes,,0.0,,13.0,2026-06-20,,,"https://www.google.com/maps?q=22.35838,87.28748&t=k"
new_activity_at_critical_site|26.18587|91.81001|2026-09-15|0756|N21,new_activity_at_critical_site,26.18587,91.81001,2026-09-15,0756,N21,D,industrial,6.4,,,,refinery · OSM,Guwahati Refinery,0.0,,1.0,2026-09-15,,,"https://www.google.com/maps?q=26.18587,91.81001&t=k"
industrial_anomaly|23.68025|86.09666|2026-09-15|0709|N20,industrial_anomaly,23.68025,86.09666,2026-09-15,0709,N20,D,industrial,9.88,4.08,2.42,24.0,OSM industrial=yes,,0.0,,10.0,2026-07-02,,,"https://www.google.com/maps?q=23.68025,86.09666&t=k"
new_activity_at_critical_site|26.18697|91.81071|2026-09-15|0709|N20,new_activity_at_critical_site,26.18697,91.81071,2026-09-15,0709,N20,D,industrial,3.37,,,,refinery · OSM,Guwahati Refinery,0.0,,1.0,2026-09-15,,,"https://www.google.com/maps?q=26.18697,91.81071&t=k"
new_activity_at_critical_site|26.18641|91.80682|2026-09-15|0709|N20,new_activity_at_critical_site,26.18641,91.80682,2026-09-15,0709,N20,D,industrial,3.99,,,,refinery · OSM,Guwahati Refinery,0.0,,1.0,2026-09-15,,,"https://www.google.com/maps?q=26.18641,91.80682&t=k"
industrial_anomaly|14.58639|78.58140|2026-09-14|2044|N21,industrial_anomaly,14.58639,78.5814,2026-09-14,2044,N21,N,industrial,4.38,0.78,5.65,16.0,OSM industrial=yes,,0.0,,4.0,2026-06-16,,,"https://www.google.com/maps?q=14.58639,78.5814&t=k"
industrial_anomaly|15.02336|78.01554|2026-09-14|2044|N21,industrial_anomaly,15.02336,78.01554,2026-09-14,2044,N21,N,industrial,5.57,1.5,3.71,112.0,OSM industrial=yes,,0.0,,19.0,2026-06-16,,,"https://www.google.com/maps?q=15.02336,78.01554&t=k"
industrial_anomaly|23.78641|85.55241|2026-09-14|2040|N21,industrial_anomaly,23.78641,85.55241,2026-09-14,2040,N21,N,industrial,3.09,1.27,2.44,130.0,coal mine (osm),,384.0,,16.0,2026-06-20,,,"https://www.google.com/maps?q=23.78641,85.55241&t=k"
industrial_anomaly|24.52919|81.16770|2026-09-14|2040|N21,industrial_anomaly,24.52919,81.1677,2026-09-14,2040,N21,N,industrial,3.08,0.9,3.42,63.0,OSM industrial=yes,,0.0,,6.0,2026-06-19,,,"https://www.google.com/maps?q=24.52919,81.1677&t=k"
industrial_anomaly|30.26491|75.17178|2026-09-14|2040|N21,industrial_anomaly,30.26491,75.17178,2026-09-14,2040,N21,N,industrial,1.14,0.69,1.65,5.0,OSM industrial=yes,,0.0,,1.0,2026-09-14,,,"https://www.google.com/maps?q=30.26491,75.17178&t=k"
new_activity_at_critical_site|20.89870|84.98262|2026-09-14|1957|N20,new_activity_at_critical_site,20.8987,84.98262,2026-09-14,1957,N20,N,unknown,1.12,,,9.0,power plant (coal) · OSM,Angul Steel Power Plant,707.0,,1.0,2026-09-14,,,"https://www.google.com/maps?q=20.8987,84.98262&t=k"
new_activity_at_critical_site|17.59897|83.18446|2026-09-14|1938|N,new_activity_at_critical_site,17.59897,83.18446,2026-09-14,1938,N,N,industrial,0.95,,,41.0,power plant (coal) · OSM,unnamed,648.0,,1.0,2026-09-14,,,"https://www.google.com/maps?q=17.59897,83.18446&t=k"
new_activity_at_critical_site|17.60055|83.18222|2026-09-14|1938|N,new_activity_at_critical_site,17.60055,83.18222,2026-09-14,1938,N,N,industrial,2.19,,,28.0,power plant (coal) · OSM,unnamed,924.0,,1.0,2026-09-14,,,"https://www.google.com/maps?q=17.60055,83.18222&t=k"
new_activity_at_critical_site|17.59933|83.18109|2026-09-14|1938|N,new_activity_at_critical_site,17.59933,83.18109,2026-09-14,1938,N,N,industrial,1.89,,,34.0,power plant (coal) · OSM,unnamed,1001.0,,1.0,2026-09-14,,,"https://www.google.com/maps?q=17.59933,83.18109&t=k"
industrial_anomaly|23.68156|86.09003|2026-09-14|1900|N21,industrial_anomaly,23.68156,86.09003,2026-09-14,1900,N21,N,industrial,7.31,2.33,3.14,148.0,OSM industrial=yes,,0.0,,15.0,2026-06-20,,,"https://www.google.com/maps?q=23.68156,86.09003&t=k"
industrial_anomaly|23.68948|87.11942|2026-09-14|1900|N21,industrial_anomaly,23.68948,87.11942,2026-09-14,1900,N21,N,industrial,4.44,1.75,2.54,106.0,OSM industrial=yes,,0.0,,10.0,2026-06-19,,,"https://www.google.com/maps?q=23.68948,87.11942&t=k"
industrial_anomaly|23.76261|86.39895|2026-09-14|1900|N21,industrial_anomaly,23.76261,86.39895,2026-09-14,1900,N21,N,industrial,8.08,2.43,3.33,131.0,coal mine (osm),,865.0,,9.0,2026-06-16,,,"https://www.google.com/maps?q=23.76261,86.39895&t=k"
new_activity_at_critical_site|17.59830|83.18493|2026-09-14|0707|N,new_activity_at_critical_site,17.5983,83.18493,2026-09-14,0707,N,D,industrial,6.76,,,22.0,power plant (coal) · OSM,unnamed,585.0,,1.0,2026-09-14,,,"https://www.google.com/maps?q=17.5983,83.18493&t=k"
industrial_anomaly|23.56064|87.24101|2026-09-13|2017|N20,industrial_anomaly,23.56064,87.24101,2026-09-13,2017,N20,N,industrial,6.52,1.94,3.36,107.0,OSM industrial=yes,,0.0,,13.0,2026-06-19,,,"https://www.google.com/maps?q=23.56064,87.24101&t=k"
industrial_anomaly|23.56012|87.23943|2026-09-13|1955|N,industrial_anomaly,23.56012,87.23943,2026-09-13,1955,N,N,industrial,8.92,2.55,3.49,222.0,OSM industrial=yes,,0.0,,35.0,2026-06-15,,,"https://www.google.com/maps?q=23.56012,87.23943&t=k"
industrial_anomaly|21.17741|81.38749|2026-09-13|1919|N21,industrial_anomaly,21.17741,81.38749,2026-09-13,1919,N21,N,industrial,5.16,1.85,2.79,97.0,OSM industrial=steelmaking,,0.0,,9.0,2026-06-26,,,"https://www.google.com/maps?q=21.17741,81.38749&t=k"
industrial_anomaly|21.17997|81.38425|2026-09-13|1919|N21,industrial_anomaly,21.17997,81.38425,2026-09-13,1919,N21,N,industrial,5.58,1.85,3.02,97.0,OSM industrial=yes,,0.0,,9.0,2026-06-26,,,"https://www.google.com/maps?q=21.17997,81.38425&t=k"
new_activity_at_critical_site|26.58274|93.77743|2026-09-13|1917|N21,new_activity_at_critical_site,26.58274,93.77743,2026-09-13,1917,N21,N,industrial,0.46,,,,refinery · OSM,Numaligarh Refinery,0.0,,1.0,2026-09-13,,,"https://www.google.com/maps?q=26.58274,93.77743&t=k"
industrial_anomaly|20.86423|84.98683|2026-09-12|2034|N20,industrial_anomaly,20.86423,84.98683,2026-09-12,2034,N20,N,industrial,4.35,1.66,2.62,88.0,OSM industrial=yes,,0.0,,12.0,2026-06-17,,,"https://www.google.com/maps?q=20.86423,84.98683&t=k"
industrial_anomaly|14.58845|78.57951|2026-09-12|2019|N,industrial_anomaly,14.58845,78.57951,2026-09-12,2019,N,N,industrial,9.62,1.12,8.59,19.0,OSM industrial=yes,,0.0,,5.0,2026-06-16,,,"https://www.google.com/maps?q=14.58845,78.57951&t=k"
industrial_anomaly|14.58824|78.58073|2026-09-12|1940|N21,industrial_anomaly,14.58824,78.58073,2026-09-12,1940,N21,N,industrial,4.13,1.12,3.69,19.0,OSM industrial=yes,,0.0,,5.0,2026-06-16,,,"https://www.google.com/maps?q=14.58824,78.58073&t=k"
industrial_anomaly|21.00215|86.02635|2026-09-12|1940|N21,industrial_anomaly,21.00215,86.02635,2026-09-12,1940,N21,N,industrial,3.11,1.3,2.39,157.0,OSM industrial=yes,,0.0,,14.0,2026-06-15,,,"https://www.google.com/maps?q=21.00215,86.02635&t=k"
industrial_anomaly|22.31256|84.76579|2026-09-12|1938|N21,industrial_anomaly,22.31256,84.76579,2026-09-12,1938,N21,N,industrial,1.74,0.7,2.47,26.0,OSM industrial=yes,,0.0,,1.0,2026-09-12,,,"https://www.google.com/maps?q=22.31256,84.76579&t=k"
industrial_anomaly|22.87329|88.21279|2026-09-12|1938|N21,industrial_anomaly,22.87329,88.21279,2026-09-12,1938,N21,N,industrial,2.4,0.84,2.86,48.0,OSM industrial=factory,,0.0,,6.0,2026-07-28,,,"https://www.google.com/maps?q=22.87329,88.21279&t=k"
industrial_anomaly|23.55564|87.23958|2026-09-12|1938|N21,industrial_anomaly,23.55564,87.23958,2026-09-12,1938,N21,N,industrial,6.35,1.99,3.19,172.0,OSM industrial=yes,,0.0,,12.0,2026-06-25,,,"https://www.google.com/maps?q=23.55564,87.23958&t=k"
new_activity_at_critical_site|25.43429|86.08202|2026-09-12|1938|N21,new_activity_at_critical_site,25.43429,86.08202,2026-09-12,1938,N21,N,unknown,1.82,,,,refinery · OSM,Barauni Oil Refinery,1077.0,,1.0,2026-09-12,,,"https://www.google.com/maps?q=25.43429,86.08202&t=k"
new_activity_at_critical_site|25.43283|86.08572|2026-09-12|1938|N21,new_activity_at_critical_site,25.43283,86.08572,2026-09-12,1938,N21,N,unknown,1.25,,,,refinery · OSM,Barauni Oil Refinery,1454.0,,1.0,2026-09-12,,,"https://www.google.com/maps?q=25.43283,86.08572&t=k"
new_activity_at_critical_site|30.26803|75.17167|2026-09-11|2051|N20,new_activity_at_critical_site,30.26803,75.17167,2026-09-11,2051,N20,N,industrial,0.66,,,,power plant (coal) · OSM,Guru Hargobind Thermal Plant,0.0,,1.0,2026-09-11,,,"https://www.google.com/maps?q=30.26803,75.17167&t=k"
industrial_anomaly|29.47522|76.85872|2026-09-10|2110|N20,industrial_anomaly,29.47522,76.85872,2026-09-10,2110,N20,N,industrial,2.81,0.9,3.1,10.0,OSM industrial=refinery,,0.0,,9.0,2026-07-29,,,"https://www.google.com/maps?q=29.47522,76.85872&t=k"
industrial_anomaly|21.10231|72.63628|2026-09-10|0843|N20,industrial_anomaly,21.10231,72.63628,2026-09-10,0843,N20,D,industrial,36.95,9.74,3.79,207.0,OSM industrial=yes,,0.0,,39.0,2026-06-12,,,"https://www.google.com/maps?q=21.10231,72.63628&t=k"
new_activity_at_critical_site|18.86210|76.51934|2026-09-10|0824|N,new_activity_at_critical_site,18.8621,76.51934,2026-09-10,0824,N,D,unknown,4.65,,,,power plant (coal) · OSM,Parli Thermal Power Station,212.0,,1.0,2026-09-10,,,"https://www.google.com/maps?q=18.8621,76.51934&t=k"
new_activity_at_critical_site|18.86072|76.52007|2026-09-10|0824|N,new_activity_at_critical_site,18.86072,76.52007,2026-09-10,0824,N,D,unknown,4.29,,,,power plant (coal) · OSM,Parli Thermal Power Station,215.0,,1.0,2026-09-10,,,"https://www.google.com/maps?q=18.86072,76.52007&t=k"
new_activity_at_critical_site|22.33153|69.74809|2026-09-09|2131|N20,new_activity_at_critical_site,22.33153,69.74809,2026-09-09,2131,N20,N,industrial,1.91,,,21.0,power plant (coal;gas) · OSM,Vadinar Power Plant,951.0,,1.0,2026-09-09,,,"https://www.google.com/maps?q=22.33153,69.74809&t=k"
industrial_anomaly|12.98521|74.85059|2026-09-09|2114|N,industrial_anomaly,12.98521,74.85059,2026-09-09,2114,N,N,gas flare,19.31,1.13,17.09,7.0,oil_gas_power_plant,,710.0,,5.0,2026-06-24,,,"https://www.google.com/maps?q=12.98521,74.85059&t=k"
