sample_id,latitude,longitude,acq_date,dnbr_informative,status,nbr_before,date_before,nbr_after,date_after,days_before,days_after,dnbr,burn_evidence,nbr_before_p50,nbr_after_p10,dnbr_p10,n_clear_scenes
G025,22.12,69.92731,2026-03-27,True,ok,0.0517,2026-03-20,0.022,2026-04-01,7.0,5.0,0.0297,no burn detected,0.0235,-0.0828,0.1063,12.0
G026,22.34407,69.86377,2026-01-11,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G027,22.31731,69.87669,2026-02-05,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G028,22.32104,69.88033,2026-06-09,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G029,22.31838,70.31145,2026-03-05,True,ok,-0.034,2026-02-28,-0.0554,2026-03-05,5.0,0.0,0.0214,no burn detected,-0.0432,-0.1057,0.0625,11.0
G030,22.59546,70.2315,2026-06-07,True,ok,-0.0337,2026-06-03,0.0144,2026-06-08,4.0,1.0,-0.0481,no burn detected,-0.0437,-0.0186,-0.025,12.0
G031,22.3327,69.72951,2026-05-27,True,ok,0.0193,2026-05-24,0.0644,2026-05-29,3.0,2.0,-0.0451,no burn detected,0.0183,0.005,0.0133,9.0
G032,22.24974,69.71995,2026-03-25,True,ok,0.0866,2026-03-15,0.0616,2026-03-25,10.0,0.0,0.025,no burn detected,0.0734,-0.049,0.1224,10.0
G033,22.31588,69.86317,2025-11-09,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G034,22.3368,69.86858,2026-02-24,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G035,22.42898,70.23678,2026-04-05,True,ok,0.0783,2026-04-04,0.0937,2026-04-09,1.0,4.0,-0.0154,no burn detected,0.0677,-0.0278,0.0956,12.0
G036,21.91585,70.11295,2026-06-14,True,ok,-0.0063,2026-06-08,-0.0188,2026-06-20,6.0,6.0,0.0125,no burn detected,0.0005,-0.1262,0.1267,5.0
G037,22.33073,69.73573,2026-06-12,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G038,22.42926,69.83208,2026-02-20,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G039,22.72149,70.45384,2026-03-26,True,ok,0.0013,2026-03-20,0.0166,2026-04-01,6.0,6.0,-0.0153,no burn detected,-0.0272,-0.0524,0.0252,12.0
G040,22.31242,69.71295,2026-05-22,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G041,22.17675,70.07123,2026-04-10,True,ok,-0.0247,2026-04-09,-0.0554,2026-04-14,1.0,4.0,0.0306,no burn detected,-0.0308,-0.0964,0.0656,13.0
G042,22.11675,70.24767,2026-06-22,True,ok,-0.0349,2026-06-08,-0.0403,2026-06-28,14.0,6.0,0.0054,no burn detected,-0.0243,-0.1343,0.11,5.0
G043,22.36123,70.26644,2026-04-04,True,ok,0.1261,2026-04-01,0.1127,2026-04-09,3.0,5.0,0.0134,no burn detected,0.1237,-0.0293,0.1529,12.0
G044,22.31917,69.88369,2026-06-09,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G045,22.43302,69.83074,2025-11-19,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G046,22.32892,69.85715,2025-10-24,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G047,22.33028,69.73499,2026-05-12,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G048,22.34067,69.86626,2026-02-25,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G049,22.05005,70.21863,2026-03-26,True,ok,-0.015,2026-03-20,-0.0035,2026-04-09,6.0,14.0,-0.0115,no burn detected,-0.0175,-0.0387,0.0213,9.0
G050,22.10944,70.34908,2026-01-27,True,ok,0.0803,2026-01-24,0.0022,2026-02-03,3.0,7.0,0.0781,no burn detected,0.0678,-0.1617,0.2295,11.0
G051,22.32051,69.87783,2026-02-05,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G052,22.1686,70.20069,2026-05-03,True,ok,-0.0659,2026-04-29,-0.0685,2026-05-04,4.0,1.0,0.0025,no burn detected,-0.0659,-0.0984,0.0324,10.0
G053,22.64691,70.29453,2026-03-23,True,ok,0.0424,2026-03-20,-0.0825,2026-03-30,3.0,7.0,0.1249,low severity,0.049,-0.2186,0.2677,13.0
G054,22.33918,69.85636,2025-12-19,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G055,22.02218,70.19625,2026-03-17,True,ok,-0.0421,2026-03-15,-0.084,2026-03-20,2.0,3.0,0.0419,no burn detected,-0.0439,-0.1708,0.1269,8.0
G056,22.33135,69.74274,2026-05-12,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G057,22.17598,70.06715,2026-04-10,True,ok,-0.0429,2026-04-09,-0.1954,2026-04-14,1.0,4.0,0.1525,low severity,-0.0428,-0.3414,0.2986,13.0
G058,22.45597,70.15071,2026-03-22,True,ok,0.0832,2026-03-20,0.0376,2026-03-30,2.0,8.0,0.0456,no burn detected,0.067,-0.0416,0.1086,10.0
G059,22.59416,70.23096,2026-01-15,True,ok,0.1913,2026-01-14,0.2136,2026-01-19,1.0,4.0,-0.0223,no burn detected,0.1128,0.032,0.0808,12.0
G060,22.17165,70.20148,2026-05-03,True,ok,-0.0603,2026-04-29,-0.0672,2026-05-04,4.0,1.0,0.0069,no burn detected,-0.0652,-0.0996,0.0344,10.0
G061,22.31598,69.86102,2025-09-11,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G062,22.46847,70.13194,2026-03-31,True,ok,0.0155,2026-03-30,-0.0487,2026-04-04,1.0,4.0,0.0642,no burn detected,-0.0078,-0.1098,0.102,12.0
G063,22.40389,69.85317,2026-03-16,True,ok,0.0649,2026-03-15,0.0334,2026-03-20,1.0,4.0,0.0315,no burn detected,0.0259,-0.1042,0.13,13.0
G064,22.44207,70.23757,2026-03-21,True,ok,0.0714,2026-03-20,0.0362,2026-04-01,1.0,11.0,0.0352,no burn detected,0.0621,-0.0533,0.1154,11.0
G065,22.33744,69.71162,2026-04-05,True,ok,0.0271,2026-04-01,0.0039,2026-04-09,4.0,4.0,0.0232,no burn detected,0.0264,-0.1102,0.1366,13.0
G066,22.60403,70.33356,2026-03-25,True,ok,0.0818,2026-03-20,0.0461,2026-04-01,5.0,7.0,0.0357,no burn detected,0.0995,-0.1167,0.2162,12.0
G067,22.44609,70.0156,2026-01-21,True,ok,0.0367,2026-01-19,0.0223,2026-01-24,2.0,3.0,0.0144,no burn detected,0.0306,-0.0569,0.0875,12.0
G068,22.42524,70.24261,2026-03-31,True,ok,0.0849,2026-03-20,0.0724,2026-04-01,11.0,1.0,0.0125,no burn detected,0.0722,0.0026,0.0696,12.0
G069,22.57525,70.22787,2026-02-24,True,ok,-0.0054,2026-02-23,-0.0913,2026-02-28,1.0,4.0,0.086,no burn detected,-0.0162,-0.3435,0.3274,10.0
G070,22.31703,69.88058,2026-01-18,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G071,22.33829,69.85821,2026-01-31,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G072,22.3361,69.85615,2026-01-28,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G073,22.29212,69.70356,2026-03-21,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G074,22.32906,69.7291,2026-05-16,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G075,22.29254,69.70918,2026-03-21,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G076,22.31652,69.85732,2025-11-22,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G077,22.16738,69.71375,2026-03-24,True,ok,-0.0466,2026-03-20,-0.1001,2026-03-25,4.0,1.0,0.0535,no burn detected,-0.0462,-0.2081,0.1618,13.0
G078,22.36245,70.18057,2026-01-16,True,ok,0.2296,2026-01-14,0.2171,2026-01-19,2.0,3.0,0.0125,no burn detected,0.183,0.0572,0.1258,12.0
G079,22.29027,70.19534,2026-03-22,True,ok,0.0617,2026-03-20,0.0276,2026-03-30,2.0,8.0,0.0342,no burn detected,0.0833,-0.0711,0.1544,11.0
G080,22.15993,69.69999,2026-04-29,True,ok,-0.0848,2026-04-24,-0.0851,2026-04-29,5.0,0.0,0.0002,no burn detected,-0.0859,-0.1264,0.0405,13.0
G081,22.34405,69.86052,2026-02-17,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G082,22.34049,69.85591,2026-06-06,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G083,22.32233,69.87494,2026-06-09,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G084,22.3334,69.73652,2026-05-20,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G085,22.17733,70.06573,2026-02-02,True,ok,0.0508,2026-01-24,0.0495,2026-02-03,9.0,1.0,0.0013,no burn detected,0.0402,-0.0146,0.0548,11.0
G086,22.32742,69.73811,2026-06-01,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G087,22.31033,70.2369,2025-11-19,True,ok,0.0972,2025-11-15,0.1202,2025-11-20,4.0,1.0,-0.023,no burn detected,0.0029,-0.1498,0.1527,12.0
G088,22.30689,70.3315,2026-03-23,True,ok,0.0412,2026-03-20,0.0089,2026-03-25,3.0,2.0,0.0323,no burn detected,0.026,-0.0895,0.1155,13.0
G089,22.2733,70.26369,2025-11-15,True,ok,-0.0176,2025-11-10,-0.0471,2025-11-15,5.0,0.0,0.0295,no burn detected,-0.0746,-0.2775,0.2029,12.0
G090,22.73009,69.70609,2026-03-19,True,ok,0.0698,2026-03-15,0.2724,2026-03-20,4.0,1.0,-0.2026,no burn detected,0.081,0.0332,0.0478,13.0
G091,22.32014,69.87059,2026-06-09,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G092,22.20536,70.37402,2026-04-06,True,ok,0.0846,2026-03-25,0.0773,2026-04-09,12.0,3.0,0.0073,no burn detected,0.0547,-0.0325,0.0872,11.0
G093,22.27163,70.26189,2025-11-11,True,ok,0.1257,2025-11-10,0.0974,2025-11-15,1.0,4.0,0.0283,no burn detected,0.1,-0.2376,0.3376,12.0
G094,21.91269,69.75711,2026-03-15,True,ok,0.0564,2026-03-10,0.0349,2026-03-15,5.0,0.0,0.0215,no burn detected,0.0543,-0.0624,0.1168,10.0
G095,22.2174,70.21004,2025-11-15,True,ok,0.0893,2025-11-10,0.0614,2025-11-15,5.0,0.0,0.0279,no burn detected,0.1051,-0.1582,0.2633,12.0
G096,22.29485,70.07402,2026-02-07,True,ok,0.3023,2026-02-03,0.2971,2026-02-08,4.0,1.0,0.0052,no burn detected,0.2248,-0.0015,0.2263,11.0
G097,22.31321,69.71737,2025-11-14,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G098,22.2034,70.38258,2026-06-09,True,no clear scene after detection,,,,,,,,,,,,6.0
G099,22.44608,70.30366,2026-01-18,True,ok,0.0226,2026-01-14,0.034,2026-01-19,4.0,1.0,-0.0114,no burn detected,0.0013,-0.0552,0.0565,12.0
G100,22.05599,70.39555,2026-04-13,True,ok,-0.0269,2026-04-09,-0.0602,2026-04-14,4.0,1.0,0.0333,no burn detected,-0.0453,-0.1361,0.0908,13.0
G101,22.32517,69.74095,2026-05-12,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G102,22.77103,70.42597,2026-06-22,True,ok,0.0254,2026-06-20,0.0204,2026-06-23,2.0,1.0,0.005,no burn detected,-0.023,-0.0776,0.0546,10.0
G103,22.17598,70.17725,2025-11-25,True,ok,0.2092,2025-11-22,0.1853,2025-11-25,3.0,0.0,0.024,no burn detected,0.1935,0.0828,0.1107,12.0
G104,22.31149,69.71579,2025-12-14,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G105,22.11143,70.48548,2025-12-01,True,ok,0.1022,2025-11-30,0.1112,2025-12-05,1.0,4.0,-0.0089,no burn detected,0.0813,-0.1254,0.2067,14.0
G106,22.78864,69.65934,2026-04-21,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G107,22.20891,70.18822,2025-11-11,True,ok,0.0454,2025-11-10,0.0181,2025-11-15,1.0,4.0,0.0272,no burn detected,0.0696,-0.21,0.2796,11.0
G108,22.3231,69.88791,2026-01-26,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G109,22.3538,69.96207,2026-02-03,True,ok,0.1148,2026-01-24,0.1529,2026-02-03,10.0,0.0,-0.0381,no burn detected,0.0389,0.0042,0.0347,11.0
G110,22.5894,70.3239,2026-03-29,True,ok,0.0296,2026-03-20,0.016,2026-04-01,9.0,3.0,0.0136,no burn detected,0.0193,-0.1143,0.1336,12.0
G111,22.34963,69.75022,2026-05-28,True,ok,-0.0838,2026-05-24,-0.0325,2026-05-31,4.0,3.0,-0.0513,no burn detected,-0.0833,-0.0807,-0.0026,11.0
G112,22.48994,70.00441,2026-04-01,True,ok,0.0246,2026-03-30,-0.0186,2026-04-04,2.0,3.0,0.0432,no burn detected,0.0028,-0.1629,0.1657,13.0
G113,22.07988,70.47439,2026-06-06,True,ok,-0.0637,2026-06-03,-0.0082,2026-06-08,3.0,2.0,-0.0556,no burn detected,-0.0731,-0.0601,-0.013,9.0
G114,22.34504,69.87063,2026-08-24,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G115,21.95078,70.27882,2026-04-26,True,ok,0.007,2026-04-24,0.0002,2026-04-29,2.0,3.0,0.0067,no burn detected,-0.0367,-0.0937,0.057,13.0
G116,21.94782,70.33823,2026-03-25,True,ok,0.104,2026-03-20,-0.0033,2026-03-25,5.0,0.0,0.1073,low severity,0.06,-0.1249,0.1849,12.0
G117,22.34621,69.75409,2026-05-27,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G118,22.32569,69.88885,2026-06-09,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G119,22.61086,70.22272,2026-03-29,True,ok,0.0206,2026-03-25,-0.0656,2026-03-30,4.0,1.0,0.0862,no burn detected,0.0045,-0.1687,0.1732,14.0
G120,22.31629,69.85161,2026-02-17,True,ok,0.1276,2026-02-13,0.1383,2026-02-18,4.0,1.0,-0.0108,no burn detected,0.0977,0.0246,0.073,10.0
G121,22.33584,69.847,2026-01-08,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G122,22.31762,69.8619,2025-11-09,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G123,22.32917,69.74969,2026-01-16,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G124,22.31128,69.86194,2026-02-14,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G125,22.43195,69.83435,2025-12-12,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G126,22.36609,70.0687,2026-03-25,True,ok,-0.0123,2026-03-20,-0.0267,2026-03-25,5.0,0.0,0.0144,no burn detected,-0.0445,-0.1038,0.0593,11.0
G127,21.99458,70.09344,2026-04-07,True,ok,-0.0425,2026-04-01,-0.073,2026-04-09,6.0,2.0,0.0305,no burn detected,-0.0516,-0.1855,0.1339,11.0
G128,22.32323,69.87736,2026-05-05,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G129,22.08912,70.3494,2026-06-11,True,ok,-0.0159,2026-06-08,-0.0143,2026-06-20,3.0,9.0,-0.0016,no burn detected,-0.0136,-0.0473,0.0337,9.0
G130,22.31357,69.73614,2026-04-08,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G131,22.13795,70.23788,2025-12-01,True,ok,-0.0663,2025-11-30,-0.098,2025-12-05,1.0,4.0,0.0317,no burn detected,-0.0485,-0.2603,0.2117,15.0
G132,22.33938,69.8717,2026-02-25,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G133,22.31355,69.85928,2026-05-02,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G134,22.43778,69.99409,2026-03-22,True,ok,0.0564,2026-03-20,-0.0107,2026-03-25,2.0,3.0,0.0671,no burn detected,0.0209,-0.2276,0.2485,11.0
G135,22.32987,69.85772,2025-11-25,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G136,22.3314,69.74002,2026-04-09,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G137,22.56787,70.24641,2026-03-18,True,ok,0.0104,2026-03-15,-0.007,2026-03-20,3.0,2.0,0.0174,no burn detected,-0.0057,-0.0851,0.0794,11.0
G138,22.49817,70.00943,2026-01-07,True,ok,0.038,2026-01-04,0.0474,2026-01-09,3.0,2.0,-0.0095,no burn detected,0.0469,-0.0442,0.0911,13.0
G139,22.13391,70.23994,2025-11-27,True,ok,0.044,2025-11-25,0.0559,2025-11-30,2.0,3.0,-0.0119,no burn detected,0.0416,-0.3064,0.348,13.0
G140,22.44191,70.119,2026-01-15,True,ok,0.0546,2026-01-14,0.0623,2026-01-19,1.0,4.0,-0.0078,no burn detected,0.0466,-0.0134,0.06,13.0
G141,22.26151,70.26022,2025-11-03,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G142,22.49114,70.39302,2026-03-25,True,ok,-0.0272,2026-03-20,-0.0084,2026-04-01,5.0,7.0,-0.0188,no burn detected,-0.0409,-0.0701,0.0292,11.0
G143,22.3182,69.88745,2026-06-09,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G144,22.23879,69.61584,2026-04-07,True,ok,0.0782,2026-04-04,0.1144,2026-04-09,3.0,2.0,-0.0362,no burn detected,0.027,-0.0612,0.0883,13.0
G145,22.31926,69.87385,2026-06-17,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G146,22.43206,69.83231,2025-11-05,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G147,22.34667,69.85779,2026-01-11,False,skipped: near industrial infrastructure (osm_industrial_tag/distance),,,,,,,,,,,,
G148,22.57408,70.22664,2026-08-23,True,no clear scene before detection,,,,,,,,,,,,0.0
G149,22.44508,70.01843,2026-01-21,True,ok,0.202,2026-01-19,0.1382,2026-01-24,2.0,3.0,0.0637,no burn detected,0.1272,-0.0331,0.1604,12.0
G150,22.26636,70.49846,2026-03-17,True,ok,0.0663,2026-03-15,-0.0145,2026-03-20,2.0,3.0,0.0808,no burn detected,0.0646,-0.1494,0.214,11.0
