sample_id,latitude,longitude,acq_date,acq_time,acq_time_ist,maps_link,verified_label,structure_seen,confidence
G083,22.32233,69.87494,2026-06-09,2153,03:23,"https://www.google.com/maps?q=22.32233,69.87494&t=k",,,
G084,22.3334,69.73652,2026-05-20,2128,02:58,"https://www.google.com/maps?q=22.3334,69.73652&t=k",,,
G085,22.17733,70.06573,2026-02-02,844,14:14,"https://www.google.com/maps?q=22.17733,70.06573&t=k",,,
G086,22.32742,69.73811,2026-06-01,2150,03:20,"https://www.google.com/maps?q=22.32742,69.73811&t=k",,,
G087,22.31033,70.2369,2025-11-19,820,13:50,"https://www.google.com/maps?q=22.31033,70.2369&t=k",,,
G088,22.30689,70.3315,2026-03-23,826,13:56,"https://www.google.com/maps?q=22.30689,70.3315&t=k",,,
G089,22.2733,70.26369,2025-11-15,823,13:53,"https://www.google.com/maps?q=22.2733,70.26369&t=k",,,
G090,22.73009,69.70609,2026-03-19,2140,03:10,"https://www.google.com/maps?q=22.73009,69.70609&t=k",,,
G091,22.32014,69.87059,2026-06-09,2014,01:44,"https://www.google.com/maps?q=22.32014,69.87059&t=k",,,
G092,22.20536,70.37402,2026-04-06,833,14:03,"https://www.google.com/maps?q=22.20536,70.37402&t=k",,,
G093,22.27163,70.26189,2025-11-11,819,13:49,"https://www.google.com/maps?q=22.27163,70.26189&t=k",,,
G094,21.91269,69.75711,2026-03-15,915,14:45,"https://www.google.com/maps?q=21.91269,69.75711&t=k",,,
G095,22.2174,70.21004,2025-11-15,823,13:53,"https://www.google.com/maps?q=22.2174,70.21004&t=k",,,
G096,22.29485,70.07402,2026-02-07,850,14:20,"https://www.google.com/maps?q=22.29485,70.07402&t=k",,,
G097,22.31321,69.71737,2025-11-14,2040,02:10,"https://www.google.com/maps?q=22.31321,69.71737&t=k",,,
G098,22.2034,70.38258,2026-06-09,2059,02:29,"https://www.google.com/maps?q=22.2034,70.38258&t=k",,,
G099,22.44608,70.30366,2026-01-18,825,13:55,"https://www.google.com/maps?q=22.44608,70.30366&t=k",,,
G100,22.05599,70.39555,2026-04-13,803,13:33,"https://www.google.com/maps?q=22.05599,70.39555&t=k",,,
G101,22.32517,69.74095,2026-05-12,2159,03:29,"https://www.google.com/maps?q=22.32517,69.74095&t=k",,,
G102,22.77103,70.42597,2026-06-22,748,13:18,"https://www.google.com/maps?q=22.77103,70.42597&t=k",,,
G103,22.17598,70.17725,2025-11-25,857,14:27,"https://www.google.com/maps?q=22.17598,70.17725&t=k",,,
G104,22.31149,69.71579,2025-12-14,2029,01:59,"https://www.google.com/maps?q=22.31149,69.71579&t=k",,,
G105,22.11143,70.48548,2025-12-01,823,13:53,"https://www.google.com/maps?q=22.11143,70.48548&t=k",,,
G106,22.78864,69.65934,2026-04-21,803,13:33,"https://www.google.com/maps?q=22.78864,69.65934&t=k",,,
G107,22.20891,70.18822,2025-11-11,819,13:49,"https://www.google.com/maps?q=22.20891,70.18822&t=k",,,
G108,22.3231,69.88791,2026-01-26,2143,03:13,"https://www.google.com/maps?q=22.3231,69.88791&t=k",,,
G109,22.3538,69.96207,2026-02-03,846,14:16,"https://www.google.com/maps?q=22.3538,69.96207&t=k",,,
G110,22.5894,70.3239,2026-03-29,834,14:04,"https://www.google.com/maps?q=22.5894,70.3239&t=k",,,
G111,22.34963,69.75022,2026-05-28,2038,02:08,"https://www.google.com/maps?q=22.34963,69.75022&t=k",,,
G112,22.48994,70.00441,2026-04-01,826,13:56,"https://www.google.com/maps?q=22.48994,70.00441&t=k",,,
G113,22.07988,70.47439,2026-06-06,841,14:11,"https://www.google.com/maps?q=22.07988,70.47439&t=k",,,
G114,22.34504,69.87063,2026-08-24,2112,02:42,"https://www.google.com/maps?q=22.34504,69.87063&t=k",,,
G115,21.95078,70.27882,2026-04-26,809,13:39,"https://www.google.com/maps?q=21.95078,70.27882&t=k",,,
G116,21.94782,70.33823,2026-03-25,748,13:18,"https://www.google.com/maps?q=21.94782,70.33823&t=k",,,
G117,22.34621,69.75409,2026-05-27,2144,03:14,"https://www.google.com/maps?q=22.34621,69.75409&t=k",,,
G118,22.32569,69.88885,2026-06-09,2136,03:06,"https://www.google.com/maps?q=22.32569,69.88885&t=k",,,
G119,22.61086,70.22272,2026-03-29,813,13:43,"https://www.google.com/maps?q=22.61086,70.22272&t=k",,,
G120,22.31629,69.85161,2026-02-17,2011,01:41,"https://www.google.com/maps?q=22.31629,69.85161&t=k",,,
G121,22.33584,69.847,2026-01-08,2101,02:31,"https://www.google.com/maps?q=22.33584,69.847&t=k",,,
G122,22.31762,69.8619,2025-11-09,2104,02:34,"https://www.google.com/maps?q=22.31762,69.8619&t=k",,,
G123,22.32917,69.74969,2026-01-16,2101,02:31,"https://www.google.com/maps?q=22.32917,69.74969&t=k",,,
G124,22.31128,69.86194,2026-02-14,2159,03:29,"https://www.google.com/maps?q=22.31128,69.86194&t=k",,,
G125,22.43195,69.83435,2025-12-12,2107,02:37,"https://www.google.com/maps?q=22.43195,69.83435&t=k",,,
G126,22.36609,70.0687,2026-03-25,858,14:28,"https://www.google.com/maps?q=22.36609,70.0687&t=k",,,
G127,21.99458,70.09344,2026-04-07,845,14:15,"https://www.google.com/maps?q=21.99458,70.09344&t=k",,,
G128,22.32323,69.87736,2026-05-05,2019,01:49,"https://www.google.com/maps?q=22.32323,69.87736&t=k",,,
G129,22.08912,70.3494,2026-06-11,754,13:24,"https://www.google.com/maps?q=22.08912,70.3494&t=k",,,
G130,22.31357,69.73614,2026-04-08,826,13:56,"https://www.google.com/maps?q=22.31357,69.73614&t=k",,,
G131,22.13795,70.23788,2025-12-01,823,13:53,"https://www.google.com/maps?q=22.13795,70.23788&t=k",,,
G132,22.33938,69.8717,2026-02-25,2152,03:22,"https://www.google.com/maps?q=22.33938,69.8717&t=k",,,
G133,22.31355,69.85928,2026-05-02,2146,03:16,"https://www.google.com/maps?q=22.31355,69.85928&t=k",,,
G134,22.43778,69.99409,2026-03-22,813,13:43,"https://www.google.com/maps?q=22.43778,69.99409&t=k",,,
G135,22.32987,69.85772,2025-11-25,2104,02:34,"https://www.google.com/maps?q=22.32987,69.85772&t=k",,,
G136,22.3314,69.74002,2026-04-09,2146,03:16,"https://www.google.com/maps?q=22.3314,69.74002&t=k",,,
G137,22.56787,70.24641,2026-03-18,840,14:10,"https://www.google.com/maps?q=22.56787,70.24641&t=k",,,
G138,22.49817,70.00943,2026-01-07,831,14:01,"https://www.google.com/maps?q=22.49817,70.00943&t=k",,,
G139,22.13391,70.23994,2025-11-27,819,13:49,"https://www.google.com/maps?q=22.13391,70.23994&t=k",,,
G140,22.44191,70.119,2026-01-15,801,13:31,"https://www.google.com/maps?q=22.44191,70.119&t=k",,,
G141,22.26151,70.26022,2025-11-03,817,13:47,"https://www.google.com/maps?q=22.26151,70.26022&t=k",,,
G142,22.49114,70.39302,2026-03-25,809,13:39,"https://www.google.com/maps?q=22.49114,70.39302&t=k",,,
G143,22.3182,69.88745,2026-06-09,926,14:56,"https://www.google.com/maps?q=22.3182,69.88745&t=k",,,
G144,22.23879,69.61584,2026-04-07,905,14:35,"https://www.google.com/maps?q=22.23879,69.61584&t=k",,,
G145,22.31926,69.87385,2026-06-17,2010,01:40,"https://www.google.com/maps?q=22.31926,69.87385&t=k",,,
G146,22.43206,69.83231,2025-11-05,2100,02:30,"https://www.google.com/maps?q=22.43206,69.83231&t=k",,,
G147,22.34667,69.85779,2026-01-11,2004,01:34,"https://www.google.com/maps?q=22.34667,69.85779&t=k",,,
G148,22.57408,70.22664,2026-08-23,2053,02:23,"https://www.google.com/maps?q=22.57408,70.22664&t=k",,,
G149,22.44508,70.01843,2026-01-21,909,14:39,"https://www.google.com/maps?q=22.44508,70.01843&t=k",,,
G150,22.26636,70.49846,2026-03-17,859,14:29,"https://www.google.com/maps?q=22.26636,70.49846&t=k",,,
